 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής1.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής1.0	305	600	[...]	0,508333	10,666667	7,492373	5,201667	0,829815	1,470169	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής2.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής2.0	322	596	[...]	0,540268	8,666667	7,657477	5,280201	0,834825	1,561766	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής3.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής3.0	339	590	[...]	0,574576	9,666667	7,690226	5,6	0,843597	1,66425	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής4.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής4.0	338	608	[...]	0,555921	9,5	7,654357	5,457237	0,830798	1,634682	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής5.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής5.0	343	597	[...]	0,574539	9,5	7,694089	5,654941	0,83773	1,676333	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής6.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής6.0	340	600	[...]	0,566667	9	7,717478	5,616667	0,825833	1,637749	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής7.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής7.0	336	606	[...]	0,554455	10	7,71611	5,49835	0,854785	1,578014	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής8.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής8.0	334	608	[...]	0,549342	9,5	7,729696	5,149671	0,860403	1,571219	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής9.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής9.0	351	612	[...]	0,573529	9,5	7,861346	5,022876	0,879289	1,623908	
Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής10.0	Μπελογιάννης, ο άνθρωπος με το γαρύφαλλο - Οδυσσέας Γκιλής10.0	336	610	[...]	0,55082	10	7,752569	5,067213	0,87377	1,57834	
